CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ    MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 2600.0000 1200.0000 1200.0000
  1    0      0    1 1:1:1:0          yes 2600.0000 1200.0000 1200.0000
  2    0      0    2 2:2:2:0          yes 2600.0000 1200.0000 1200.0000
  3    0      0    3 3:3:3:0          yes 2600.0000 1200.0000 1200.0000
  4    0      0    4 4:4:4:0          yes 2600.0000 1200.0000 1200.0000
  5    0      0    5 5:5:5:0          yes 2600.0000 1200.0000 1200.0000
  6    0      0    6 6:6:6:0          yes 2600.0000 1200.0000 1200.0000
  7    0      0    7 7:7:7:0          yes 2600.0000 1200.0000 1200.0000
  8    1      1    8 16:16:16:1       yes 2600.0000 1200.0000 1326.0690
  9    1      1    9 17:17:17:1       yes 2600.0000 1200.0000 1224.1140
 10    1      1   10 18:18:18:1       yes 2600.0000 1200.0000 1200.0000
 11    1      1   11 19:19:19:1       yes 2600.0000 1200.0000 1200.0000
 12    1      1   12 20:20:20:1       yes 2600.0000 1200.0000 1200.0000
 13    1      1   13 21:21:21:1       yes 2600.0000 1200.0000 1233.6100
 14    1      1   14 22:22:22:1       yes 2600.0000 1200.0000 1307.2150
 15    1      1   15 23:23:23:1       yes 2600.0000 1200.0000 1200.0000
 16    2      2   16 32:32:32:2       yes 2600.0000 1200.0000 1200.0000
 17    2      2   17 33:33:33:2       yes 2600.0000 1200.0000 1200.0000
 18    2      2   18 34:34:34:2       yes 2600.0000 1200.0000 1200.0000
 19    2      2   19 35:35:35:2       yes 2600.0000 1200.0000 1200.0000
 20    2      2   20 36:36:36:2       yes 2600.0000 1200.0000 1200.0000
 21    2      2   21 37:37:37:2       yes 2600.0000 1200.0000 1200.0000
 22    2      2   22 38:38:38:2       yes 2600.0000 1200.0000 1200.0000
 23    2      2   23 39:39:39:2       yes 2600.0000 1200.0000 1200.0000
 24    3      3   24 48:48:48:3       yes 2600.0000 1200.0000 1200.0000
 25    3      3   25 49:49:49:3       yes 2600.0000 1200.0000 1200.0000
 26    3      3   26 50:50:50:3       yes 2600.0000 1200.0000 1200.0000
 27    3      3   27 51:51:51:3       yes 2600.0000 1200.0000 1200.0000
 28    3      3   28 52:52:52:3       yes 2600.0000 1200.0000 1200.0660
 29    3      3   29 53:53:53:3       yes 2600.0000 1200.0000 1200.0000
 30    3      3   30 54:54:54:3       yes 2600.0000 1200.0000 1200.0000
 31    3      3   31 55:55:55:3       yes 2600.0000 1200.0000 1200.0000
 32    0      0    0 0:0:0:0          yes 2600.0000 1200.0000 1200.1680
 33    0      0    1 1:1:1:0          yes 2600.0000 1200.0000 1200.1050
 34    0      0    2 2:2:2:0          yes 2600.0000 1200.0000 1200.0000
 35    0      0    3 3:3:3:0          yes 2600.0000 1200.0000 1199.9730
 36    0      0    4 4:4:4:0          yes 2600.0000 1200.0000 1200.0000
 37    0      0    5 5:5:5:0          yes 2600.0000 1200.0000 1200.0000
 38    0      0    6 6:6:6:0          yes 2600.0000 1200.0000 1200.0000
 39    0      0    7 7:7:7:0          yes 2600.0000 1200.0000 1200.0000
 40    1      1    8 16:16:16:1       yes 2600.0000 1200.0000 1200.0000
 41    1      1    9 17:17:17:1       yes 2600.0000 1200.0000 1200.0000
 42    1      1   10 18:18:18:1       yes 2600.0000 1200.0000 1200.0000
 43    1      1   11 19:19:19:1       yes 2600.0000 1200.0000 1200.0000
 44    1      1   12 20:20:20:1       yes 2600.0000 1200.0000 1200.0000
 45    1      1   13 21:21:21:1       yes 2600.0000 1200.0000 1200.0000
 46    1      1   14 22:22:22:1       yes 2600.0000 1200.0000 1200.0000
 47    1      1   15 23:23:23:1       yes 2600.0000 1200.0000 1200.0000
 48    2      2   16 32:32:32:2       yes 2600.0000 1200.0000 1200.0000
 49    2      2   17 33:33:33:2       yes 2600.0000 1200.0000 1200.0000
 50    2      2   18 34:34:34:2       yes 2600.0000 1200.0000 1200.0000
 51    2      2   19 35:35:35:2       yes 2600.0000 1200.0000 1200.0000
 52    2      2   20 36:36:36:2       yes 2600.0000 1200.0000 2200.1299
 53    2      2   21 37:37:37:2       yes 2600.0000 1200.0000 2200.3169
 54    2      2   22 38:38:38:2       yes 2600.0000 1200.0000 2200.0420
 55    2      2   23 39:39:39:2       yes 2600.0000 1200.0000 2200.6799
 56    3      3   24 48:48:48:3       yes 2600.0000 1200.0000 1200.0000
 57    3      3   25 49:49:49:3       yes 2600.0000 1200.0000 1200.0000
 58    3      3   26 50:50:50:3       yes 2600.0000 1200.0000 1200.0000
 59    3      3   27 51:51:51:3       yes 2600.0000 1200.0000 1200.0699
 60    3      3   28 52:52:52:3       yes 2600.0000 1200.0000 1200.1030
 61    3      3   29 53:53:53:3       yes 2600.0000 1200.0000 1200.1030
 62    3      3   30 54:54:54:3       yes 2600.0000 1200.0000 1200.0410
 63    3      3   31 55:55:55:3       yes 2600.0000 1200.0000 1200.0000
